ChannelPartnerID,Month,Year,Brand,Sales
10000,5,2022,B4,22354
10000,10,2022,B5,11473
10000,8,2022,B1,29822
10000,10,2022,B3,6152
10000,1,2021,B2,8911
10000,4,2021,B2,35818
10001,3,2022,B2,43112
10001,10,2021,B5,15331
10001,12,2022,B2,5802
10001,7,2022,B1,6249
10001,6,2022,B1,21269
10002,12,2021,B4,7687
10002,10,2021,B5,40803
10002,5,2021,B1,10263
10003,7,2021,B4,22433
10003,3,2021,B5,10658
10004,12,2021,B4,33748
10004,8,2022,B5,36978
10004,11,2022,B1,9670
10004,10,2022,B3,30813
10005,2,2021,B2,68286
10005,10,2021,B1,33202
10005,12,2022,B2,7904
10005,6,2021,B1,6123
10005,8,2022,B3,6894
10006,5,2022,B3,25359
10006,2,2022,B4,50028
10006,9,2021,B3,11258
10006,4,2022,B1,8118
10006,12,2021,B4,34725
10006,9,2022,B2,13870
10006,10,2022,B3,10009
10006,10,2021,B2,9391
10007,2,2021,B3,19929
10007,6,2021,B3,59641
10007,2,2021,B4,9202
10007,7,2021,B4,27581
10007,6,2021,B2,7473
10008,9,2021,B1,9544
10008,8,2021,B4,46293
10008,10,2021,B1,8148
10008,5,2021,B2,8358
10008,1,2022,B3,31504
10008,10,2021,B1,23228
10008,7,2022,B4,10176
10009,8,2021,B1,45897
10009,4,2021,B4,38398
10009,1,2022,B3,12369
10010,10,2022,B4,31068
10010,8,2022,B5,26686
10010,2,2022,B4,13878
10010,4,2022,B3,37424
10010,5,2022,B1,11174
10010,8,2021,B5,9076
10010,12,2022,B2,16476
10010,1,2021,B4,46473
10010,9,2021,B3,51228
10011,9,2022,B2,5626
10011,6,2021,B4,39859
10011,5,2022,B3,23375
10011,12,2021,B1,31642
10012,2,2021,B4,19768
10012,7,2022,B1,17260
10012,7,2022,B1,37489
10012,1,2021,B1,43333
10012,5,2022,B3,41606
10012,7,2021,B2,6895
10012,4,2022,B2,18093
10012,2,2022,B1,14685
10012,7,2021,B1,25209
10013,5,2022,B2,25383
10013,5,2022,B5,29638
10013,8,2021,B5,47850
10013,1,2021,B2,10818
10013,12,2022,B3,38825
10014,11,2021,B1,39947
10014,8,2021,B4,3159
10014,8,2022,B4,35584
10014,9,2021,B2,4759
10014,7,2021,B5,10336
10014,5,2021,B4,3413
10014,4,2021,B3,45311
10014,9,2022,B2,7551
10014,11,2022,B2,62644
10015,9,2021,B2,7865
10015,8,2022,B3,17201
10015,12,2021,B1,60149
10015,6,2021,B5,43980
10015,11,2022,B2,23747
10016,2,2021,B4,7734
